Região/Unidade da Federação,Rede,IDEB 2005,IDEB 2007,IDEB 2009,IDEB 2011,IDEB 2013,IDEB 2015,IDEB 2017,IDEB 2019,IDEB 2021
Norte,Total,3.0,3.4,3.8,4.2,4.3,4.7,4.9,5.0,5.0
Norte,Pública,2.9,3.3,3.8,4.2,4.3,4.7,4.9,5.0,5.0
Norte,Privada,5.5,5.6,5.9,6.1,6.1,6.4,6.8,6.8,6.6
Norte,Estadual,3.2,3.6,4.2,4.5,4.7,5.0,5.4,5.5,5.5
Rondônia,Total,3.6,4.0,4.3,4.7,5.2,5.4,5.8,5.6,5.4
Rondônia,Pública,3.5,3.9,4.3,4.6,5.1,5.3,5.7,5.5,5.3
Rondônia,Privada,5.7,5.7,0.0,6.4,6.5,6.8,7.2,6.8,6.7
Rondônia,Estadual,3.6,4.0,4.4,4.7,5.4,5.7,6.1,5.7,5.6
Acre,Total,3.4,3.8,4.3,4.6,5.1,5.4,5.8,5.9,5.5
Acre,Pública,3.3,3.7,4.2,4.5,5.0,5.3,5.7,5.8,5.4
Acre,Privada,5.7,6.0,0.0,6.2,6.7,7.1,7.4,7.3,7.3
Acre,Estadual,3.3,3.8,4.5,4.7,5.2,5.5,6.1,6.2,5.7
Amazonas,Total,3.1,3.6,3.9,4.3,4.7,5.2,5.4,5.5,5.4
Amazonas,Pública,2.9,3.4,3.8,4.2,4.5,5.0,5.3,5.3,5.3
Amazonas,Privada,5.5,5.7,0.0,6.2,6.3,6.7,7.0,7.0,7.0
Amazonas,Estadual,3.3,3.9,4.5,4.8,5.1,5.5,5.8,5.8,5.9
Roraima,Total,3.7,4.1,4.3,4.7,5.0,5.2,5.5,5.7,5.5
Roraima,Pública,3.6,4.1,4.2,4.5,4.8,5.1,5.4,5.5,5.3
Roraima,Privada,6.1,5.9,0.0,6.6,6.8,6.8,7.1,7.2,6.8
Roraima,Estadual,3.5,3.5,4.2,4.5,4.8,5.1,0.0,0.0,0.0
Pará,Total,2.8,3.1,3.6,4.2,4.0,4.5,4.7,4.9,4.9
Pará,Pública,2.7,3.0,3.6,4.0,3.8,4.3,4.5,4.7,4.8
Pará,Privada,5.5,5.5,0.0,5.9,5.9,6.1,6.5,6.7,6.4
Pará,Estadual,2.8,2.8,3.7,4.0,3.6,4.2,4.5,5.0,5.0
Amapá,Total,3.2,3.4,3.8,4.1,4.0,4.5,4.6,4.9,4.9
Amapá,Pública,3.0,3.3,3.8,4.0,3.9,4.3,4.4,4.7,4.7
Amapá,Privada,4.9,5.3,0.0,6.1,6.1,6.4,6.8,6.9,6.6
Amapá,Estadual,3.1,3.0,3.6,3.9,3.8,4.4,4.5,4.8,4.6
Tocantins,Total,3.5,4.1,4.5,4.9,5.1,5.1,5.6,5.6,5.3
Tocantins,Pública,3.4,4.0,4.4,4.8,5.0,5.0,5.4,5.5,5.1
Tocantins,Privada,5.6,5.7,0.0,6.5,6.7,6.7,7.3,7.1,7.1
Tocantins,Estadual,3.6,4.2,4.5,4.9,5.1,5.0,5.8,5.8,5.5
Nordeste,Total,2.9,3.5,3.8,4.2,4.3,4.8,5.1,5.4,5.3
Nordeste,Pública,2.7,3.3,3.7,4.0,4.1,4.6,4.9,5.2,5.1
Nordeste,Privada,5.4,5.5,5.8,6.0,6.2,6.3,6.5,6.6,6.6
Nordeste,Estadual,2.9,3.3,3.7,3.9,4.1,4.5,4.7,5.0,5.0
Maranhão,Total,2.9,3.7,3.9,4.1,4.1,4.6,4.8,5.0,5.0
Maranhão,Pública,2.7,3.5,3.7,3.9,3.8,4.4,4.5,4.8,4.7
Maranhão,Privada,4.9,5.3,5.5,5.8,6.0,6.1,6.5,6.4,6.5
Maranhão,Estadual,3.2,3.3,4.0,4.0,4.2,4.3,4.1,3.9,4.1
Piauí,Total,2.8,3.5,4.0,4.4,4.5,4.9,5.3,5.7,5.6
Piauí,Pública,2.6,3.3,3.8,4.1,4.1,4.6,5.0,5.4,5.3
Piauí,Privada,5.4,5.7,5.8,6.3,6.6,6.6,6.8,7.0,7.1
Piauí,Estadual,2.6,3.2,3.8,4.1,4.5,4.6,5.5,6.0,6.1
Ceará,Total,3.2,3.8,4.4,4.9,5.2,5.9,6.2,6.4,6.3
Ceará,Pública,2.8,3.5,4.1,4.7,5.0,5.7,6.1,6.3,6.1
Ceará,Privada,5.4,5.5,5.9,6.0,6.1,6.3,6.5,6.7,7.1
Ceará,Estadual,3.2,3.5,4.2,4.4,5.0,5.8,6.7,6.5,7.2
R. G. do Norte,Total,2.7,3.4,3.9,4.1,4.4,4.8,5.0,5.2,5.0
R. G. do Norte,Pública,2.5,3.2,3.5,3.8,4.0,4.4,4.5,4.7,4.5
R. G. do Norte,Privada,5.0,5.0,5.8,5.8,6.1,6.3,6.6,6.5,6.7
R. G. do Norte,Estadual,2.6,3.0,3.5,3.7,3.9,4.5,4.6,4.9,4.7
Paraíba,Total,3.0,3.4,3.9,4.3,4.5,4.9,5.1,5.4,5.4
Paraíba,Pública,2.7,3.3,3.6,4.0,4.2,4.5,4.7,5.0,5.0
Paraíba,Privada,5.4,5.5,5.8,5.9,6.0,6.5,6.7,6.7,6.7
Paraíba,Estadual,3.0,3.5,3.7,4.0,4.2,4.4,4.7,4.9,5.1
Pernambuco,Total,3.2,3.6,4.1,4.3,4.7,5.0,5.2,5.5,5.4
Pernambuco,Pública,2.8,3.3,3.7,3.9,4.1,4.6,4.8,5.1,5.1
Pernambuco,Privada,5.5,5.5,5.8,5.7,6.2,6.2,6.4,6.5,6.2
Pernambuco,Estadual,3.1,3.5,3.9,4.2,4.3,4.7,4.9,5.0,5.3
Alagoas,Total,2.5,3.3,3.7,3.8,4.1,4.7,5.2,5.6,5.6
Alagoas,Pública,2.4,3.1,3.4,3.5,3.7,4.3,4.9,5.3,5.3
Alagoas,Privada,5.1,5.2,5.5,5.9,6.2,6.3,6.5,6.6,6.8
Alagoas,Estadual,2.9,3.3,3.3,3.4,3.7,4.1,4.9,5.2,5.0
Sergipe,Total,3.0,3.4,3.8,4.1,4.4,4.6,4.9,5.1,5.2
Sergipe,Pública,2.8,3.2,3.4,3.6,3.8,4.1,4.3,4.6,4.8
Sergipe,Privada,5.3,5.5,5.7,6.0,6.1,6.2,6.7,6.6,6.4
Sergipe,Estadual,3.0,3.4,3.7,3.9,4.1,4.3,4.7,5.0,5.2
Bahia,Total,2.7,3.4,3.8,4.2,4.3,4.7,5.1,5.3,5.3
Bahia,Pública,2.5,3.2,3.5,3.9,3.9,4.4,4.7,4.9,4.9
Bahia,Privada,5.5,5.9,6.1,6.3,6.3,6.3,6.6,6.6,6.6
Bahia,Estadual,2.6,2.6,3.2,3.8,4.0,4.3,4.9,5.0,6.0
Sudeste,Total,4.6,4.8,5.3,5.6,5.9,6.1,6.4,6.5,6.1
Sudeste,Pública,4.4,4.6,5.1,5.4,5.6,6.0,6.2,6.2,5.9
Sudeste,Privada,6.3,6.3,6.8,6.8,6.9,7.0,7.4,7.4,7.3
Sudeste,Estadual,4.5,4.7,5.4,5.5,5.9,6.3,6.5,6.5,6.1
Minas Gerais,Total,4.7,4.7,5.6,5.9,6.1,6.3,6.5,6.5,6.1
Minas Gerais,Pública,4.6,4.6,5.5,5.8,5.9,6.1,6.3,6.3,5.9
Minas Gerais,Privada,6.9,6.7,7.1,7.4,7.6,7.8,8.0,7.8,7.6
Minas Gerais,Estadual,4.9,4.9,5.8,6.0,6.2,6.3,6.5,6.5,6.0
Espírito Santo,Total,4.2,4.6,5.1,5.2,5.4,5.7,6.0,6.1,6.0
Espírito Santo,Pública,3.9,4.3,4.8,5.0,5.2,5.5,5.7,5.9,5.8
Espírito Santo,Privada,6.3,6.3,7.0,7.1,7.3,7.6,7.8,7.6,7.4
Espírito Santo,Estadual,3.7,4.1,5.0,5.0,5.3,5.5,5.9,6.1,6.0
Rio de Janeiro,Total,4.3,4.4,4.7,5.1,5.2,5.5,5.8,5.8,5.7
Rio de Janeiro,Pública,4.0,4.1,4.4,4.8,4.9,5.2,5.3,5.4,5.3
Rio de Janeiro,Privada,5.7,5.9,5.9,6.3,6.1,6.3,6.9,6.8,6.8
Rio de Janeiro,Estadual,3.7,3.8,4.0,4.3,4.7,5.1,4.8,5.4,5.3
São Paulo,Total,4.7,5.0,5.5,5.6,6.1,6.4,6.6,6.7,6.3
São Paulo,Pública,4.5,4.8,5.3,5.4,5.8,6.2,6.5,6.5,6.1
São Paulo,Privada,6.5,6.4,7.2,7.0,7.3,7.1,7.4,7.6,7.5
São Paulo,Estadual,4.5,4.7,5.4,5.4,5.7,6.4,6.5,6.6,6.1
Sul,Total,4.4,4.8,5.1,5.5,5.8,6.0,6.2,6.3,6.2
Sul,Pública,4.3,4.6,5.0,5.4,5.6,5.8,6.0,6.2,6.0
Sul,Privada,6.2,6.3,6.7,7.0,7.2,7.4,7.5,7.4,7.4
Sul,Estadual,4.2,4.6,4.9,5.4,5.6,5.6,5.8,5.8,6.0
Paraná,Total,4.6,5.0,5.4,5.6,5.9,6.2,6.5,6.5,6.2
Paraná,Pública,4.4,4.8,5.3,5.4,5.8,6.1,6.3,6.4,6.1
Paraná,Privada,6.5,6.5,6.8,7.0,7.2,7.2,7.4,7.2,7.2
Paraná,Estadual,5.0,5.2,5.2,5.2,6.2,6.2,6.3,6.8,7.1
Santa Catarina,Total,4.4,4.9,5.2,5.8,6.0,6.3,6.5,6.5,6.4
Santa Catarina,Pública,4.3,4.7,5.1,5.7,5.9,6.1,6.3,6.3,6.2
Santa Catarina,Privada,6.4,6.6,7.1,7.1,7.5,7.7,7.8,7.7,7.7
Santa Catarina,Estadual,4.3,4.7,5.0,5.7,5.7,5.9,6.0,5.9,6.1
R. G. do Sul,Total,4.3,4.6,4.9,5.1,5.6,5.7,5.8,6.0,6.0
R. G. do Sul,Pública,4.1,4.5,4.7,5.1,5.4,5.5,5.6,5.8,5.8
R. G. do Sul,Privada,5.8,6.1,6.4,6.7,7.2,7.4,7.4,7.5,7.4
R. G. do Sul,Estadual,4.2,4.5,4.8,5.1,5.5,5.5,5.7,5.8,5.9
Centro-Oeste,Total,4.0,4.4,4.9,5.3,5.5,5.7,6.0,6.1,5.8
Centro-Oeste,Pública,3.8,4.2,4.8,5.1,5.3,5.5,5.8,5.9,5.6
Centro-Oeste,Privada,5.9,5.9,6.4,6.7,6.8,7.0,7.2,7.2,7.3
Centro-Oeste,Estadual,3.9,4.5,5.0,5.2,5.4,5.6,5.9,5.9,5.7
M. G. do Sul,Total,3.6,4.3,4.6,5.1,5.2,5.5,5.7,5.7,5.4
M. G. do Sul,Pública,3.4,4.1,4.5,5.0,5.0,5.3,5.5,5.5,5.2
M. G. do Sul,Privada,6.1,6.4,6.6,6.9,6.8,7.0,7.4,7.3,7.1
M. G. do Sul,Estadual,3.2,4.0,4.4,4.9,5.1,5.4,5.6,5.7,5.2
Mato Grosso,Total,3.6,4.4,4.9,5.1,5.3,5.7,5.9,5.9,5.8
Mato Grosso,Pública,3.5,4.3,4.8,4.9,5.2,5.5,5.7,5.7,5.5
Mato Grosso,Privada,5.5,5.9,6.2,6.3,6.7,7.1,7.3,7.1,7.2
Mato Grosso,Estadual,3.6,4.4,4.9,5.1,5.1,5.6,5.8,5.6,5.5
Goiás,Total,4.1,4.3,4.9,5.3,5.7,5.8,6.1,6.2,5.9
Goiás,Pública,3.8,4.1,4.7,5.1,5.5,5.6,5.9,6.0,5.7
Goiás,Privada,5.7,5.7,6.3,6.7,6.8,6.9,7.0,7.1,6.9
Goiás,Estadual,3.9,4.3,4.9,5.3,6.0,6.1,6.6,6.4,6.1
Distrito Federal,Total,4.8,5.0,5.6,5.7,5.9,6.0,6.3,6.5,6.4
Distrito Federal,Pública,4.4,4.8,5.4,5.4,5.6,5.6,6.0,6.1,5.9
Distrito Federal,Privada,6.4,6.1,6.5,6.8,6.9,7.1,7.4,7.6,7.9
Distrito Federal,Estadual,4.4,4.8,5.4,5.4,5.6,5.6,6.0,6.1,5.9
