NU_ANO_CENSO,NO_REGIAO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_LOCALIZACAO,SUM_MAT_QT_BAS,SUM_MAT_FUND_AI,SUM_MAT_BAS_ND,SUM_MAT_BAS_BRANCA,SUM_MAT_BAS_PRETA,SUM_MAT_BAS_PARDA,SUM_MAT_BAS_AMARELA,SUM_MAT_BAS_INDIGENA
2011.0,Centro-Oeste,1.0,0.0,1.0,13055.0,261.0,6984.0,2971.0,422.0,2439.0,220.0,19.0
2011.0,Centro-Oeste,1.0,0.0,2.0,5717.0,0.0,2352.0,1461.0,340.0,1431.0,123.0,10.0
2011.0,Centro-Oeste,2.0,0.0,1.0,1667041.0,327002.0,852881.0,283675.0,36752.0,461112.0,28581.0,4040.0
2011.0,Centro-Oeste,2.0,0.0,2.0,88189.0,26472.0,49139.0,11450.0,1452.0,17060.0,607.0,8481.0
2011.0,Centro-Oeste,3.0,0.0,1.0,1128501.0,589555.0,402856.0,276308.0,24605.0,414427.0,6258.0,4047.0
2011.0,Centro-Oeste,3.0,0.0,2.0,150133.0,83734.0,66412.0,22938.0,2532.0,36852.0,722.0,20677.0
2011.0,Centro-Oeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Centro-Oeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Centro-Oeste,4.0,1.0,1.0,461327.0,152343.0,204284.0,159611.0,7185.0,85691.0,4074.0,482.0
2011.0,Centro-Oeste,4.0,1.0,2.0,2354.0,377.0,1500.0,312.0,52.0,468.0,17.0,5.0
2011.0,Centro-Oeste,4.0,2.0,1.0,9431.0,2080.0,3423.0,2793.0,269.0,2801.0,140.0,5.0
2011.0,Centro-Oeste,4.0,2.0,2.0,250.0,0.0,113.0,69.0,16.0,49.0,3.0,0.0
2011.0,Centro-Oeste,4.0,3.0,1.0,16667.0,5085.0,7735.0,5023.0,278.0,3337.0,247.0,47.0
2011.0,Centro-Oeste,4.0,4.0,1.0,118750.0,33253.0,49296.0,38478.0,2758.0,26826.0,1235.0,157.0
2011.0,Centro-Oeste,4.0,4.0,2.0,2390.0,478.0,1305.0,393.0,41.0,554.0,19.0,78.0
2011.0,Nordeste,1.0,0.0,1.0,69248.0,268.0,37264.0,10989.0,2280.0,18196.0,349.0,170.0
2011.0,Nordeste,1.0,0.0,2.0,11811.0,42.0,5682.0,1542.0,512.0,3971.0,69.0,35.0
2011.0,Nordeste,2.0,0.0,1.0,4113630.0,321269.0,1888406.0,373810.0,173284.0,1656766.0,13237.0,8127.0
2011.0,Nordeste,2.0,0.0,2.0,244188.0,41981.0,110215.0,16659.0,7219.0,83096.0,590.0,26409.0
2011.0,Nordeste,3.0,0.0,1.0,5598704.0,2407073.0,2243986.0,596914.0,193221.0,2531508.0,22520.0,10555.0
2011.0,Nordeste,3.0,0.0,2.0,3293940.0,1621797.0,1316421.0,313051.0,112109.0,1526602.0,14741.0,11016.0
2011.0,Nordeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Nordeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Nordeste,4.0,1.0,1.0,1812250.0,674334.0,835980.0,385031.0,40088.0,539081.0,9560.0,2510.0
2011.0,Nordeste,4.0,1.0,2.0,13743.0,6337.0,5825.0,2725.0,491.0,4622.0,71.0,9.0
2011.0,Nordeste,4.0,2.0,1.0,47246.0,10509.0,17684.0,5378.0,3559.0,20313.0,237.0,75.0
2011.0,Nordeste,4.0,2.0,2.0,5086.0,1030.0,1716.0,571.0,136.0,2640.0,18.0,5.0
2011.0,Nordeste,4.0,3.0,1.0,15601.0,4863.0,9845.0,2615.0,120.0,2958.0,50.0,13.0
2011.0,Nordeste,4.0,3.0,2.0,311.0,113.0,136.0,78.0,5.0,91.0,1.0,0.0
2011.0,Nordeste,4.0,4.0,1.0,235591.0,76900.0,100399.0,45126.0,5768.0,83317.0,769.0,212.0
2011.0,Nordeste,4.0,4.0,2.0,8799.0,2610.0,3552.0,930.0,235.0,4014.0,57.0,11.0
2011.0,Norte,1.0,0.0,1.0,27395.0,1021.0,12538.0,2928.0,784.0,10394.0,170.0,581.0
2011.0,Norte,1.0,0.0,2.0,2326.0,0.0,891.0,384.0,118.0,868.0,37.0,28.0
2011.0,Norte,2.0,0.0,1.0,1806321.0,345494.0,788515.0,155818.0,32354.0,814728.0,5659.0,9247.0
2011.0,Norte,2.0,0.0,2.0,217144.0,59061.0,99249.0,8905.0,2947.0,78594.0,665.0,26784.0
2011.0,Norte,3.0,0.0,1.0,1659409.0,803904.0,671958.0,151294.0,27821.0,796958.0,5355.0,6023.0
2011.0,Norte,3.0,0.0,2.0,1018699.0,577781.0,399376.0,54050.0,20592.0,491803.0,3119.0,49759.0
2011.0,Norte,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Norte,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Norte,4.0,1.0,1.0,325093.0,107998.0,143933.0,60077.0,4758.0,114139.0,1691.0,495.0
2011.0,Norte,4.0,1.0,2.0,2748.0,1097.0,1234.0,299.0,53.0,873.0,8.0,281.0
2011.0,Norte,4.0,2.0,1.0,2932.0,560.0,1276.0,382.0,49.0,1214.0,9.0,2.0
2011.0,Norte,4.0,2.0,2.0,3075.0,536.0,1476.0,275.0,107.0,1169.0,6.0,42.0
2011.0,Norte,4.0,3.0,1.0,8339.0,2884.0,4125.0,2113.0,68.0,1953.0,71.0,9.0
2011.0,Norte,4.0,3.0,2.0,34.0,0.0,16.0,3.0,1.0,13.0,1.0,0.0
2011.0,Norte,4.0,4.0,1.0,46173.0,13499.0,19218.0,9789.0,753.0,16138.0,206.0,69.0
2011.0,Norte,4.0,4.0,2.0,1629.0,362.0,1018.0,208.0,26.0,351.0,16.0,10.0
2011.0,Sudeste,1.0,0.0,1.0,77817.0,5328.0,44166.0,21370.0,2183.0,9625.0,356.0,117.0
2011.0,Sudeste,1.0,0.0,2.0,10290.0,0.0,3468.0,3815.0,328.0,2593.0,43.0,43.0
2011.0,Sudeste,2.0,0.0,1.0,8135128.0,1259227.0,2851703.0,2755381.0,298739.0,2183127.0,32595.0,13583.0
2011.0,Sudeste,2.0,0.0,2.0,195391.0,41814.0,66441.0,56048.0,7297.0,60536.0,1111.0,3958.0
2011.0,Sudeste,3.0,0.0,1.0,7324557.0,3380066.0,1770978.0,2908718.0,365315.0,2247938.0,21598.0,10010.0
2011.0,Sudeste,3.0,0.0,2.0,540128.0,330280.0,189338.0,161046.0,23198.0,163678.0,1529.0,1339.0
2011.0,Sudeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Sudeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Sudeste,4.0,1.0,1.0,2970125.0,885269.0,1210818.0,1356614.0,59187.0,318244.0,22358.0,2904.0
2011.0,Sudeste,4.0,1.0,2.0,10234.0,4009.0,4312.0,4174.0,260.0,1400.0,79.0,9.0
2011.0,Sudeste,4.0,2.0,1.0,126398.0,8344.0,41160.0,47272.0,6407.0,30872.0,583.0,104.0
2011.0,Sudeste,4.0,2.0,2.0,1911.0,0.0,896.0,485.0,53.0,464.0,7.0,6.0
2011.0,Sudeste,4.0,3.0,1.0,47631.0,11966.0,19699.0,20646.0,1007.0,6062.0,176.0,41.0
2011.0,Sudeste,4.0,4.0,1.0,673760.0,178225.0,248563.0,306843.0,19290.0,94697.0,3789.0,578.0
2011.0,Sudeste,4.0,4.0,2.0,7313.0,2340.0,2437.0,2953.0,223.0,1655.0,33.0,12.0
2011.0,Sul,1.0,0.0,1.0,34671.0,453.0,19128.0,13808.0,470.0,1135.0,100.0,30.0
2011.0,Sul,1.0,0.0,2.0,4722.0,0.0,2672.0,1826.0,60.0,152.0,8.0,4.0
2011.0,Sul,2.0,0.0,1.0,2849960.0,426017.0,1302746.0,1212167.0,46230.0,277780.0,6446.0,4591.0
2011.0,Sul,2.0,0.0,2.0,166918.0,41325.0,69626.0,71669.0,1478.0,13219.0,287.0,10639.0
2011.0,Sul,3.0,0.0,1.0,2318083.0,1200533.0,795017.0,1228446.0,48629.0,236571.0,6284.0,3136.0
2011.0,Sul,3.0,0.0,2.0,280826.0,173233.0,111018.0,144046.0,3667.0,20625.0,568.0,902.0
2011.0,Sul,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Sul,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Sul,4.0,1.0,1.0,555502.0,128555.0,232998.0,298422.0,4787.0,15059.0,3840.0,396.0
2011.0,Sul,4.0,1.0,2.0,1165.0,263.0,384.0,695.0,7.0,62.0,15.0,2.0
2011.0,Sul,4.0,2.0,1.0,33772.0,3092.0,8837.0,19996.0,2245.0,2460.0,183.0,51.0
2011.0,Sul,4.0,2.0,2.0,337.0,16.0,97.0,200.0,13.0,26.0,0.0,1.0
2011.0,Sul,4.0,3.0,1.0,17064.0,5458.0,8228.0,8199.0,98.0,418.0,101.0,20.0
2011.0,Sul,4.0,3.0,2.0,548.0,4.0,271.0,254.0,11.0,12.0,0.0,0.0
2011.0,Sul,4.0,4.0,1.0,331562.0,96751.0,153262.0,158307.0,5152.0,13471.0,1105.0,265.0
2011.0,Sul,4.0,4.0,2.0,1536.0,349.0,699.0,707.0,31.0,88.0,10.0,1.0
2012.0,Centro-Oeste,1.0,0.0,1.0,16421.0,268.0,8060.0,3717.0,755.0,3587.0,265.0,37.0
2012.0,Centro-Oeste,1.0,0.0,2.0,5821.0,0.0,2498.0,1447.0,298.0,1436.0,135.0,7.0
2012.0,Centro-Oeste,2.0,0.0,1.0,1608401.0,310956.0,801917.0,278840.0,33716.0,468025.0,21739.0,4164.0
2012.0,Centro-Oeste,2.0,0.0,2.0,92450.0,26203.0,50299.0,12119.0,1419.0,18639.0,449.0,9525.0
2012.0,Centro-Oeste,3.0,0.0,1.0,1146704.0,599222.0,378341.0,290928.0,25388.0,441830.0,6091.0,4126.0
2012.0,Centro-Oeste,3.0,0.0,2.0,143847.0,80662.0,58395.0,23102.0,2434.0,37510.0,620.0,21786.0
2012.0,Centro-Oeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Centro-Oeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Centro-Oeste,4.0,1.0,1.0,484420.0,161019.0,203532.0,172763.0,7707.0,95533.0,4415.0,470.0
2012.0,Centro-Oeste,4.0,1.0,2.0,2366.0,432.0,1378.0,329.0,55.0,523.0,74.0,7.0
2012.0,Centro-Oeste,4.0,2.0,1.0,7579.0,1746.0,2969.0,2108.0,163.0,2252.0,82.0,5.0
2012.0,Centro-Oeste,4.0,2.0,2.0,531.0,0.0,190.0,166.0,37.0,126.0,11.0,1.0
2012.0,Centro-Oeste,4.0,3.0,1.0,18242.0,5848.0,7205.0,7040.0,215.0,3507.0,227.0,48.0
2012.0,Centro-Oeste,4.0,4.0,1.0,118331.0,33745.0,47053.0,39221.0,2662.0,27969.0,1210.0,216.0
2012.0,Centro-Oeste,4.0,4.0,2.0,2375.0,514.0,1172.0,450.0,41.0,598.0,13.0,101.0
2012.0,Nordeste,1.0,0.0,1.0,75092.0,300.0,40399.0,11110.0,2520.0,20480.0,426.0,157.0
2012.0,Nordeste,1.0,0.0,2.0,12893.0,33.0,6415.0,1487.0,479.0,4418.0,59.0,35.0
2012.0,Nordeste,2.0,0.0,1.0,3864506.0,249932.0,1715949.0,367666.0,163041.0,1597980.0,12327.0,7543.0
2012.0,Nordeste,2.0,0.0,2.0,226701.0,35294.0,94556.0,15843.0,6842.0,78884.0,599.0,29977.0
2012.0,Nordeste,3.0,0.0,1.0,5603906.0,2369575.0,2100358.0,628669.0,193460.0,2648556.0,21591.0,11272.0
2012.0,Nordeste,3.0,0.0,2.0,3147394.0,1525253.0,1172850.0,313184.0,106934.0,1528703.0,13500.0,12223.0
2012.0,Nordeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Nordeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Nordeste,4.0,1.0,1.0,1977388.0,738508.0,873191.0,423245.0,47361.0,620910.0,10108.0,2573.0
2012.0,Nordeste,4.0,1.0,2.0,14742.0,7039.0,5842.0,3038.0,483.0,5290.0,74.0,15.0
2012.0,Nordeste,4.0,2.0,1.0,46969.0,11156.0,18059.0,5140.0,3936.0,19554.0,227.0,53.0
2012.0,Nordeste,4.0,2.0,2.0,4651.0,685.0,1850.0,523.0,134.0,2110.0,16.0,18.0
2012.0,Nordeste,4.0,3.0,1.0,14774.0,4694.0,8508.0,2769.0,132.0,3301.0,52.0,12.0
2012.0,Nordeste,4.0,3.0,2.0,327.0,176.0,102.0,64.0,1.0,92.0,4.0,64.0
2012.0,Nordeste,4.0,4.0,1.0,228301.0,74845.0,89457.0,46013.0,5998.0,85814.0,791.0,228.0
2012.0,Nordeste,4.0,4.0,2.0,10183.0,2607.0,3679.0,1133.0,372.0,4936.0,46.0,17.0
2012.0,Norte,1.0,0.0,1.0,28958.0,1070.0,13978.0,2948.0,725.0,10601.0,151.0,555.0
2012.0,Norte,1.0,0.0,2.0,2616.0,0.0,1057.0,433.0,129.0,936.0,37.0,24.0
2012.0,Norte,2.0,0.0,1.0,1803210.0,322034.0,715343.0,161882.0,33385.0,875940.0,5582.0,11078.0
2012.0,Norte,2.0,0.0,2.0,216706.0,54935.0,90423.0,9602.0,3187.0,82559.0,597.0,30338.0
2012.0,Norte,3.0,0.0,1.0,1680641.0,808101.0,645264.0,154216.0,28481.0,840066.0,5464.0,7150.0
2012.0,Norte,3.0,0.0,2.0,1001484.0,554523.0,370715.0,54405.0,19893.0,500610.0,2859.0,53002.0
2012.0,Norte,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Norte,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Norte,4.0,1.0,1.0,359879.0,119925.0,150829.0,67260.0,5323.0,134016.0,1849.0,602.0
2012.0,Norte,4.0,1.0,2.0,3234.0,1063.0,1595.0,367.0,55.0,956.0,8.0,253.0
2012.0,Norte,4.0,2.0,1.0,2906.0,497.0,1164.0,367.0,43.0,1323.0,8.0,1.0
2012.0,Norte,4.0,2.0,2.0,2770.0,521.0,1312.0,276.0,82.0,1075.0,6.0,19.0
2012.0,Norte,4.0,3.0,1.0,7172.0,2434.0,3222.0,2257.0,59.0,1580.0,44.0,10.0
2012.0,Norte,4.0,3.0,2.0,31.0,0.0,15.0,3.0,1.0,11.0,1.0,0.0
2012.0,Norte,4.0,4.0,1.0,48695.0,14782.0,18711.0,11060.0,831.0,17765.0,248.0,80.0
2012.0,Norte,4.0,4.0,2.0,1373.0,340.0,870.0,178.0,19.0,278.0,17.0,11.0
2012.0,Sudeste,1.0,0.0,1.0,81734.0,5326.0,43917.0,23970.0,2283.0,11081.0,377.0,106.0
2012.0,Sudeste,1.0,0.0,2.0,10606.0,0.0,2860.0,4539.0,394.0,2727.0,40.0,46.0
2012.0,Sudeste,2.0,0.0,1.0,7821813.0,1147262.0,2584839.0,2733123.0,292018.0,2170643.0,28519.0,12671.0
2012.0,Sudeste,2.0,0.0,2.0,189804.0,35992.0,63309.0,54857.0,7148.0,59517.0,1090.0,3883.0
2012.0,Sudeste,3.0,0.0,1.0,7343050.0,3303247.0,1661086.0,2981417.0,370740.0,2299827.0,20817.0,9163.0
2012.0,Sudeste,3.0,0.0,2.0,526461.0,313812.0,170071.0,163540.0,23048.0,167072.0,1422.0,1308.0
2012.0,Sudeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sudeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sudeste,4.0,1.0,1.0,3089654.0,919669.0,1171149.0,1479993.0,63192.0,349301.0,22966.0,3053.0
2012.0,Sudeste,4.0,1.0,2.0,11190.0,4484.0,4454.0,4574.0,292.0,1787.0,77.0,6.0
2012.0,Sudeste,4.0,2.0,1.0,123966.0,7188.0,40020.0,46639.0,6094.0,30515.0,606.0,92.0
2012.0,Sudeste,4.0,2.0,2.0,1723.0,6.0,677.0,505.0,52.0,480.0,4.0,5.0
2012.0,Sudeste,4.0,3.0,1.0,41042.0,13374.0,15087.0,20413.0,758.0,4608.0,150.0,26.0
2012.0,Sudeste,4.0,4.0,1.0,710451.0,169195.0,276555.0,309900.0,19470.0,100247.0,3767.0,512.0
2012.0,Sudeste,4.0,4.0,2.0,6968.0,1936.0,2148.0,3022.0,210.0,1540.0,41.0,7.0
2012.0,Sul,1.0,0.0,1.0,37351.0,486.0,19534.0,15682.0,566.0,1424.0,126.0,19.0
2012.0,Sul,1.0,0.0,2.0,4944.0,0.0,2788.0,1910.0,79.0,155.0,8.0,4.0
2012.0,Sul,2.0,0.0,1.0,2739940.0,403426.0,1200702.0,1209830.0,46312.0,272478.0,6238.0,4380.0
2012.0,Sul,2.0,0.0,2.0,158385.0,39086.0,60371.0,71697.0,1467.0,13469.0,273.0,11108.0
2012.0,Sul,3.0,0.0,1.0,2358373.0,1220759.0,760328.0,1295116.0,50027.0,243272.0,6577.0,3053.0
2012.0,Sul,3.0,0.0,2.0,272619.0,168895.0,98147.0,149380.0,3738.0,19784.0,640.0,930.0
2012.0,Sul,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sul,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sul,4.0,1.0,1.0,579511.0,145327.0,220622.0,331944.0,5286.0,16860.0,4442.0,357.0
2012.0,Sul,4.0,1.0,2.0,1156.0,312.0,287.0,763.0,3.0,83.0,18.0,2.0
2012.0,Sul,4.0,2.0,1.0,34238.0,3347.0,9882.0,19584.0,2321.0,2274.0,136.0,41.0
2012.0,Sul,4.0,2.0,2.0,242.0,5.0,69.0,150.0,4.0,19.0,0.0,0.0
2012.0,Sul,4.0,3.0,1.0,19617.0,7284.0,9280.0,9562.0,177.0,477.0,106.0,15.0
2012.0,Sul,4.0,3.0,2.0,566.0,4.0,280.0,265.0,9.0,12.0,0.0,0.0
2012.0,Sul,4.0,4.0,1.0,342986.0,103186.0,146061.0,173920.0,5949.0,15804.0,963.0,289.0
2012.0,Sul,4.0,4.0,2.0,1670.0,344.0,674.0,829.0,44.0,111.0,9.0,3.0
2013.0,Centro-Oeste,1.0,0.0,1.0,16682.0,265.0,8366.0,3740.0,678.0,3616.0,253.0,29.0
2013.0,Centro-Oeste,1.0,0.0,2.0,6436.0,0.0,2978.0,1501.0,301.0,1501.0,141.0,14.0
2013.0,Centro-Oeste,2.0,0.0,1.0,1562664.0,296751.0,770960.0,273297.0,30726.0,466686.0,16649.0,4346.0
2013.0,Centro-Oeste,2.0,0.0,2.0,90807.0,24519.0,47892.0,12055.0,1492.0,19384.0,389.0,9595.0
2013.0,Centro-Oeste,3.0,0.0,1.0,1158133.0,602007.0,364181.0,297413.0,25960.0,460703.0,5603.0,4273.0
2013.0,Centro-Oeste,3.0,0.0,2.0,142435.0,79053.0,54850.0,22811.0,2531.0,38449.0,636.0,23158.0
2013.0,Centro-Oeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Centro-Oeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Centro-Oeste,4.0,1.0,1.0,514165.0,169419.0,201194.0,190824.0,7923.0,109279.0,4471.0,474.0
2013.0,Centro-Oeste,4.0,1.0,2.0,2270.0,383.0,1248.0,393.0,43.0,561.0,16.0,9.0
2013.0,Centro-Oeste,4.0,2.0,1.0,8677.0,2412.0,4155.0,2523.0,108.0,1801.0,83.0,7.0
2013.0,Centro-Oeste,4.0,2.0,2.0,514.0,0.0,231.0,144.0,24.0,108.0,7.0,0.0
2013.0,Centro-Oeste,4.0,3.0,1.0,11953.0,4340.0,3884.0,4999.0,132.0,2809.0,103.0,26.0
2013.0,Centro-Oeste,4.0,4.0,1.0,121635.0,34268.0,46000.0,40713.0,2700.0,30761.0,1237.0,224.0
2013.0,Centro-Oeste,4.0,4.0,2.0,2046.0,333.0,883.0,421.0,25.0,613.0,6.0,98.0
2013.0,Nordeste,1.0,0.0,1.0,82643.0,334.0,43949.0,12161.0,2607.0,23325.0,439.0,162.0
2013.0,Nordeste,1.0,0.0,2.0,12815.0,49.0,6609.0,1454.0,374.0,4294.0,52.0,32.0
2013.0,Nordeste,2.0,0.0,1.0,3576824.0,189392.0,1446161.0,360789.0,163114.0,1587882.0,11211.0,7667.0
2013.0,Nordeste,2.0,0.0,2.0,221218.0,33327.0,84731.0,15704.0,6365.0,78981.0,588.0,34849.0
2013.0,Nordeste,3.0,0.0,1.0,5643135.0,2347805.0,1990915.0,655298.0,195492.0,2768019.0,21384.0,12027.0
2013.0,Nordeste,3.0,0.0,2.0,3081732.0,1445517.0,1083995.0,315321.0,105538.0,1551113.0,12903.0,12862.0
2013.0,Nordeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Nordeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Nordeste,4.0,1.0,1.0,2026400.0,759369.0,861847.0,444461.0,46752.0,660861.0,9974.0,2505.0
2013.0,Nordeste,4.0,1.0,2.0,14861.0,6780.0,5732.0,3127.0,442.0,5499.0,48.0,13.0
2013.0,Nordeste,4.0,2.0,1.0,44363.0,10744.0,16861.0,5076.0,3264.0,18918.0,194.0,50.0
2013.0,Nordeste,4.0,2.0,2.0,8358.0,777.0,3879.0,813.0,275.0,3346.0,30.0,15.0
2013.0,Nordeste,4.0,3.0,1.0,16667.0,5289.0,8669.0,3524.0,178.0,4236.0,47.0,13.0
2013.0,Nordeste,4.0,3.0,2.0,256.0,107.0,107.0,39.0,5.0,51.0,4.0,50.0
2013.0,Nordeste,4.0,4.0,1.0,228546.0,74095.0,83339.0,47756.0,6332.0,90044.0,861.0,214.0
2013.0,Nordeste,4.0,4.0,2.0,11018.0,2791.0,3765.0,1132.0,377.0,5682.0,46.0,16.0
2013.0,Norte,1.0,0.0,1.0,28823.0,1091.0,13639.0,3086.0,697.0,10729.0,147.0,525.0
2013.0,Norte,1.0,0.0,2.0,2561.0,0.0,1080.0,364.0,134.0,947.0,19.0,17.0
2013.0,Norte,2.0,0.0,1.0,1734859.0,299868.0,657830.0,161478.0,32081.0,867669.0,5139.0,10662.0
2013.0,Norte,2.0,0.0,2.0,214993.0,51816.0,85003.0,9896.0,3236.0,84150.0,571.0,32137.0
2013.0,Norte,3.0,0.0,1.0,1718422.0,829279.0,625478.0,162117.0,28807.0,889058.0,5023.0,7939.0
2013.0,Norte,3.0,0.0,2.0,998424.0,540406.0,359758.0,52860.0,19439.0,506375.0,2912.0,57080.0
2013.0,Norte,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Norte,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Norte,4.0,1.0,1.0,382036.0,126712.0,152824.0,72242.0,5619.0,148820.0,1889.0,642.0
2013.0,Norte,4.0,1.0,2.0,2948.0,834.0,1380.0,463.0,53.0,1040.0,6.0,6.0
2013.0,Norte,4.0,2.0,1.0,2202.0,406.0,1033.0,326.0,36.0,805.0,2.0,0.0
2013.0,Norte,4.0,2.0,2.0,2986.0,537.0,1329.0,296.0,78.0,1236.0,10.0,37.0
2013.0,Norte,4.0,3.0,1.0,6691.0,2182.0,2594.0,2234.0,69.0,1748.0,33.0,13.0
2013.0,Norte,4.0,3.0,2.0,42.0,0.0,18.0,3.0,2.0,18.0,1.0,0.0
2013.0,Norte,4.0,4.0,1.0,48152.0,14896.0,17196.0,11027.0,776.0,18896.0,203.0,54.0
2013.0,Norte,4.0,4.0,2.0,1349.0,321.0,813.0,173.0,20.0,312.0,19.0,12.0
2013.0,Sudeste,1.0,0.0,1.0,88322.0,5211.0,43302.0,28503.0,2614.0,13278.0,517.0,108.0
2013.0,Sudeste,1.0,0.0,2.0,9150.0,0.0,1837.0,4135.0,377.0,2739.0,49.0,13.0
2013.0,Sudeste,2.0,0.0,1.0,7558230.0,1078738.0,2369322.0,2713868.0,284985.0,2151559.0,26699.0,11797.0
2013.0,Sudeste,2.0,0.0,2.0,184548.0,32959.0,61717.0,53836.0,6664.0,57306.0,850.0,4175.0
2013.0,Sudeste,3.0,0.0,1.0,7325476.0,3260564.0,1621950.0,2992024.0,366090.0,2317258.0,19770.0,8384.0
2013.0,Sudeste,3.0,0.0,2.0,512538.0,298508.0,156609.0,163733.0,22501.0,167028.0,1393.0,1274.0
2013.0,Sudeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Sudeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Sudeste,4.0,1.0,1.0,3221481.0,965534.0,1154410.0,1586463.0,69246.0,385244.0,23308.0,2810.0
